Buncish,English,,
Brekky-B,Breakfast Bar,,
Bobby R,Bob Ross,,
Boops,BUPA,,
Brillo Pads,Brilliant,,
Chazza,Charity,,
Chica,Lady,,
Cholez,Jewish Challah bread,,
Clazza,Claromentis,,
Curts,Curtains,,
Didge,Digit,,
Dreamy,Georgina Burns,,
Edginald D Hunter,Edd Trent,,
Eems,E-Mails,,
Emili Sandé,Alexander (any),,
Fantastiche,Fantastic,,
Feachs,Features,,
Fidgey B,Fidget Spinner,,
Funicular,Vernacular,,
Genie,Georgina Burns,,
Ghostface Gillah,Gili Dailes,,
Gittens,Git,,
(the) Goose,Pub,,
Hard Jenxit,"Alan Jenkins, resignation of",,
Hein-Zonday,Heinous,,
Honey,Lady,,
Jake Gyllenhaal,Gili Dailes,,
J-Beasley,James Bunce,,
J-Beezy,James Bunce,,
J-Squeezy,J-Query,,
Kenco Millicano,Ken Day,,
Lappy,Laptop,,
Laptastic,Laptop,,
Motes,Motorbike,,
Percy,Personal,,
Permish,Permissions,,
Shito,Sexual harassment in the office,,
Shorty B,Shortbread,,
Sburys,Sainsburys,,
Smooth Viminal,Adept user of VIM,,
Spinzos,Fidget Spinner,,
Stage,Postage,,
Stasling,50p,,
Stassius McClane,Stas Dreiling,,
Terms,Terminal prompt,,
Terminator,Terminal prompt,,
Third Degree Burns,Georgina Burns,,
Tonks,Will Emmerson,,
Trumplestiltskin,Donald Trump,,
Twinning,Twisting and Spinning at the same time,,
Vokes,Vocabulary,,
Wevs,Weather,,
Wickedmentis,Claromentis,,
Wonks,Will Emmerson,,
Xander,Alexander Wootton,,
Yonny,Jon Mulhern,,
